PROJECT_TYPE,APN,NAMEADDR,Alias,BESTSTAT,BESTDATE,Entitlement,PLN_CASENO,BP_APPLNO,PROPUSE,PLN_DESC,BP_DESC,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FILEDATE,PLANNER,APPLICANT,CONTACT,CONTACTPH,SOURCE,Supe_District,PLAN_AREA,PLAN_DISTRICT,NEIGHBORHOOD,ZONING_SIM,ZONING_DISTRICT,HEIGHT_DISTRICT,Location
Resident,APN 3749059,45 LANSING ST,Jasper,CONSTRUCTION,2015-07-14T00:00:00,-1,2004.0481,201009140800,APARTMENTS,"Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.","TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.",320,320,0,0,0,-14000,0,0,0,0,0,-15000,0,0,0,1000,0,0,2004-05-19T00:00:00,JKUGLER,Ezra Mersey,James A. Reuben,567-9000,CASE TRACKING,D6,Rincon Hill,South of Market,South of Market,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,65/400-R,"{'latitude': '37.7858734308', 'longitude': '-122.393748741', 'needs_recoding': False}"
Mixres,APN 0342001,950 MARKET ST,,PL FILED,2013-11-19T00:00:00,0,2013.1049,,,"The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim",,316,316,0,0,229000,169834,0,0,0,0,24000,24000,0,0,15000,-6321,190000,152155,2013-11-19T00:00:00,MHUE,Michelle  Lin,Michelle  Lin,394-9018,CASE TRACKING,D6,Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-X,"{'latitude': '37.7831754339', 'longitude': '-122.409568316', 'needs_recoding': False}"
Mixres,APN 3701021,1270 MISSION ST,,PL FILED,2015-05-28T00:00:00,0,2014.0926,,,"The proposal includes the demolition of a one-story, 1,192 sq.ft. building currently being operated as a pizza shop and surface parking lot on the project site and construction of an approximately 120 foot tall, 13 story mixed-use building containing 199",,312,312,0,0,3530,2338,0,0,0,0,0,0,0,0,3530,2338,0,0,2014-06-13T00:00:00,,,,,CASE TRACKING,D6,Downtown,Downtown,South of Market,C-3-G,DOWNTOWN- GENERAL,120-X,"{'latitude': '37.7768070788', 'longitude': '-122.414522788', 'needs_recoding': False}"
Mixres,APN 0350003,1066 MARKET ST,,PL FILED,2014-06-18T00:00:00,0,2013.1753,,,"The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim",,304,304,0,0,4540,-526,0,0,0,0,0,0,0,0,4540,-526,0,0,2014-06-18T00:00:00,IWILSON,Thomas Hart,Thomas Hart,772-7000,CASE TRACKING,D6,Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-X,"{'latitude': '37.7817990077', 'longitude': '-122.41174159', 'needs_recoding': False}"
Mixres,APN 3708006,50 01ST ST,,PL FILED,2014-06-04T00:00:00,0,2006.1523,,,"The project site consist of three undeveloped lots and four buildings ranging from five to seven stories, totaling approx. 251,000 sq. ft. of office, retail, and commercial uses. There are no off-street parking or loading on the site. The proposed projec",,292,292,0,0,1970000,1704000,0,0,0,0,1050000,806000,0,0,310000,288000,610000,610000,2006-12-21T00:00:00,KGUY,Mark Solit,Joel Yodowitz,415 567-9000,CASE TRACKING,D6,Transit Center District; Downtown,Downtown,Financial District,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),850-S-2,"{'latitude': '37.7899046877', 'longitude': '-122.398320801', 'needs_recoding': False}"
Resident,APN 3954016,1301 16TH STREET,,PL FILED,2013-09-16T00:00:00,0,2013.0698,,,"The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The",,276,276,0,0,0,-38600,0,0,0,0,0,0,0,-38600,0,0,0,0,2013-09-16T00:00:00,CTEAGUE,William Mollard,William Mollard,409-9267,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.7658451446', 'longitude': '-122.400239355', 'needs_recoding': False}"
Resident,APN 4022001,2070 BRYANT ST,,PL FILED,2014-06-12T00:00:00,0,2013.0677,201406239109,APARTMENTS,"The proposed project is the demolition of the 50,000 sf warehouse building at 2070 Bryant Street and construction of a new 6-story residential building with garage parking using conventional parking and parking stackers. The proposed project would constr",,274,271,0,0,0,-50000,0,0,0,0,0,0,0,-50000,0,0,0,0,2014-06-12T00:00:00,RSUCRE,Nick Podell,Linsey Perlov,415-296-8800,CASE TRACKING,D9,Mission (EN),Mission,Mission,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.761499537', 'longitude': '-122.410581329', 'needs_recoding': False}"
Resident,APN 8710004,718 LONG BRIDGE ST,Arden,CONSTRUCTION,2015-07-15T00:00:00,-1,,201212246822,APARTMENTS,,ERECT 16 STORIES & 263 DWELLING APARTMENT & PARKING.,263,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-24T00:00:00,JBANALES,,,,PERMIT TRACKING,D6,Mission Bay,South of Market,South of Market,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,"{'latitude': '37.7714244696', 'longitude': '-122.394362815', 'needs_recoding': False}"
Mixres,APN 0647007,1634-1690 PINE ST,,CONSTRUCTION,2015-07-30T00:00:00,-1,2011.1306,201312184508,,"1) Merge the six exiting assessor's lots, 2) demolish the existing five industrial/comercial bldgs. on the site and possibly maintain/incorporate some of the existing bldgs. facades into the new project and 3) construct a residential bldg. with some comm",,260,260,31,31,4886,6666,0,0,0,0,0,0,0,0,4886,6666,0,0,2007-09-28T00:00:00,SSANCHEZ,AIS,AIS,415.215.6,CASE TRACKING,D2,Van Ness Corridor,Western Addition,Western Addition,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",130-E,"{'latitude': '37.7895929753', 'longitude': '-122.422950809', 'needs_recoding': False}"
Mixres,APN 4172022,1201-1225 TENNESSEE STREET,,CONSTRUCTION,2015-07-27T00:00:00,-1,2012.0493,201312234917,,"Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.",ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.,259,259,34,34,5078,-139594,0,0,0,0,0,0,0,-79336,5078,-60258,0,0,2013-04-11T00:00:00,CTEAGUE,Morton Rothman,Jesse Herzog,775-7005,CASE TRACKING,D10,Central Waterfront (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.7559279741', 'longitude': '-122.388602973', 'needs_recoding': False}"
Resident,APN 4167011,1395 22nd St,,PL FILED,2014-01-13T00:00:00,0,2011.0671,,,"The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.",,251,251,0,0,72856,72856,0,0,0,0,0,0,0,0,0,0,0,0,2014-01-13T00:00:00,BFU,Redmond Lyons,Redmond Lyons,415-810-3791,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,PDR-1-G,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL",40-X,"{'latitude': '37.7562034233', 'longitude': '-122.393593669', 'needs_recoding': False}"
Mixres,APN 0813007,1390 MARKET ST,,PL APPROVED,2009-05-28T00:00:00,-1,2005.0979,,APARTMENTS,"Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wo",,230,230,0,0,17500,-1500,0,0,0,0,0,-9500,0,0,17500,8000,0,0,2005-10-19T00:00:00,DLEWIS,,,,PERMIT TRACKING,D6,Market and Octavia; Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-R-2,"{'latitude': '37.7772236125', 'longitude': '-122.417361361', 'needs_recoding': False}"
Mixres,APN 3514043,1601 MISSION ST,,PL FILED,2015-02-11T00:00:00,0,2014.1121,,,"Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.",,220,220,0,0,9900,5471,9900,5471,0,0,0,0,0,0,0,0,0,0,2014-07-17T00:00:00,TCHANG,,,,CASE TRACKING,D6,Market and Octavia; Downtown,Mission,South of Market,C-3-G,DOWNTOWN- GENERAL,120-R-2,"{'latitude': '37.7720407322', 'longitude': '-122.418763248', 'needs_recoding': False}"
Resident,APN 3703059,1095 MARKET ST,,BP FILED,2014-09-11T00:00:00,0,,201409116118,TOURIST HOTEL/MOTEL,,CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 202 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CGROB,,,,PERMIT TRACKING,D6,Downtown,Downtown,South of Market,C-3-G,DOWNTOWN- GENERAL,90-X,"{'latitude': '37.7803286884', 'longitude': '-122.412013611', 'needs_recoding': False}"
Mixres,APN 0350002,1028 MARKET ST,,PL FILED,2014-04-29T00:00:00,0,2014.0241,,CLUB,"The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t",,186,186,0,0,9675,9675,0,0,0,0,0,0,0,0,9675,9675,0,0,2014-04-29T00:00:00,DDWYER,Sally Maxwell,Sally Maxwell,883-0133,CASE TRACKING,D6,Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-X,"{'latitude': '37.7818834819', 'longitude': '-122.411323334', 'needs_recoding': False}"
Mixres,APN 3706093,706 MISSION ST,,PL APPROVED,2013-07-31T00:00:00,-1,2008.1084,201312204747,,"The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also i",,185,185,0,0,174400,25570,0,0,0,0,0,-119330,0,0,174400,144900,0,0,2012-10-26T00:00:00,SJONES,Sean Jeffries,Sean Jeffries,593-1100,CASE TRACKING,D6,Yerba Buena; Central SoMa; Downtown,Downtown,Financial District,C-3-R,DOWNTOWN- RETAIL,400-I,"{'latitude': '37.7862060968', 'longitude': '-122.40253249', 'needs_recoding': False}"
Mixres,APN 0831023,PARCEL P - MARKET OCTAVIA,,CONSTRUCTION,2014-12-31T00:00:00,-1,2011.0744,201210051462,,"Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.","TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.",182,182,0,0,3897,3897,0,0,0,0,0,0,0,0,3897,3897,0,0,2011-08-03T00:00:00,KGUY,Meg Spriggs,Meg Spriggs,415-284-9087,CASE TRACKING,D5,Market and Octavia,Western Addition,Western Addition,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,50-X,"{'latitude': '37.7749621109', 'longitude': '-122.425119564', 'needs_recoding': False}"
Mixres,APN 0836002,1540 MARKET ST,,PL FILED,2009-02-27T00:00:00,0,2009.0159,,,"Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial build",,180,180,0,0,34091,-13252,0,0,0,0,15281,-22827,0,0,18810,9575,0,0,2009-02-27T00:00:00,CROOS,Richard Johnson,Andrew Junius,415 567 9000,CASE TRACKING,D5,Market and Octavia; Downtown,Buena Vista,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120/400-R-2,"{'latitude': '37.7752149608', 'longitude': '-122.41960726', 'needs_recoding': False}"
Mixres,APN 4886008,Hunters Point Expy,Bayview Waterfront,PL APPROVED,2010-08-03T00:00:00,-1,2007.0946,,,"Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,",,10500,10237,3345,3089,4110000,4110000,0,0,0,0,2756250,2756250,393750,393750,750000,750000,210000,210000,2010-01-11T00:00:00,JNAVARRE,SF Redevelopment Agency,Nicole Franklin,,CASE TRACKING,D10,Bayview Hunters Point; Candlestick Point,South Bayshore,Bayview,P,PUBLIC,OS,"{'latitude': '37.7146878859', 'longitude': '-122.380302389', 'needs_recoding': False}"
Mixres,APN 1939001,Treasure Island,Treasure Island,PL APPROVED,2011-03-15T00:00:00,-1,2007.0903,,,"Development and Redevelopment Plan for Treasure Island and Yerba Buena Island, including land uses up to (approximately): 6,000 units residential, 500 rooms hotel, 250,000-sf retail, 300 acres park and open space, parking, reuse and historic rehabilitati",,8619,7800,2050,1800,381000,381000,0,0,0,0,0,0,0,0,250000,250000,131000,131000,2011-03-15T00:00:00,JSWITZKY,,,,manual,D6,Treasure Island,South of Market,Treasure Island/YBI,,,,"{'latitude': '37.824283772', 'longitude': '-122.370951496', 'needs_recoding': False}"
Mixres,APN 7303001,3711 19th Ave,Parkmerced,PL APPROVED,2011-05-25T00:00:00,-1,2008.0021,,,"Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastru",,8898,5677,284,284,521450,478383,0,0,0,0,91390,80615,0,0,430060,397768,0,0,2009-12-07T00:00:00,EWATTY,Seth Mallen,Barbara Sahm,415.536.2883,CASE TRACKING,D7,Parkmerced,Ingleside,Lakeshore,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",,"{'latitude': '37.7212200819', 'longitude': '-122.483610339', 'needs_recoding': False}"
